id,title,provenance,epistemic_status,primary_destination,secondary_links,assumptions,falsifiers,prior_art,current_version
11,Control Margin / Control Crossover,A→U,MODEL,P4 Minimax Control Frontier,P7,Control can be operationalized as a defender-adversary game; stronger systems have larger feasible strategy sets; defense resources constrain protocol sets.,"Strong claims fail if capability does not expand adversarial strategy sets, if aligned objectives remove conflict, or if containment/defense scales sufficiently to keep residual risk below tolerance.","Games for AI Control (Griffin et al., 2024); Turner et al. 2021/2022 power-seeking results; Thornley 2024 shutdown problem; Carlsmith 2022.",v0.1 (2026-09-14)
12,"Effective Strategic Power Is Multiplicative, Not Intelligence Alone",A→U,MODEL,P4 Minimax Control Frontier,P6,Control can be operationalized as a defender-adversary game; stronger systems have larger feasible strategy sets; defense resources constrain protocol sets.,"Strong claims fail if capability does not expand adversarial strategy sets, if aligned objectives remove conflict, or if containment/defense scales sufficiently to keep residual risk below tolerance.","Games for AI Control (Griffin et al., 2024); Turner et al. 2021/2022 power-seeking results; Thornley 2024 shutdown problem; Carlsmith 2022.",v0.1 (2026-09-14)
13,Cognition-to-Power Conversion Bridge,O→F,HYPOTHESIS,P4 Minimax Control Frontier,P6,Control can be operationalized as a defender-adversary game; stronger systems have larger feasible strategy sets; defense resources constrain protocol sets.,"Strong claims fail if capability does not expand adversarial strategy sets, if aligned objectives remove conflict, or if containment/defense scales sufficiently to keep residual risk below tolerance.","Games for AI Control (Griffin et al., 2024); Turner et al. 2021/2022 power-seeking results; Thornley 2024 shutdown problem; Carlsmith 2022.",v0.1 (2026-09-14)
14,Conditional Loss-of-Control Theorem,O→F,CONJECTURE,P4 Minimax Control Frontier,P7,Control can be operationalized as a defender-adversary game; stronger systems have larger feasible strategy sets; defense resources constrain protocol sets.,"Strong claims fail if capability does not expand adversarial strategy sets, if aligned objectives remove conflict, or if containment/defense scales sufficiently to keep residual risk below tolerance.","Games for AI Control (Griffin et al., 2024); Turner et al. 2021/2022 power-seeking results; Thornley 2024 shutdown problem; Carlsmith 2022.",v0.1 (2026-09-14)
15,Strong Form: Loss of Control Begins at Superintelligence's Birth,O,CONJECTURE,P4 Minimax Control Frontier,P7,Control can be operationalized as a defender-adversary game; stronger systems have larger feasible strategy sets; defense resources constrain protocol sets.,"Strong claims fail if capability does not expand adversarial strategy sets, if aligned objectives remove conflict, or if containment/defense scales sufficiently to keep residual risk below tolerance.","Games for AI Control (Griffin et al., 2024); Turner et al. 2021/2022 power-seeking results; Thornley 2024 shutdown problem; Carlsmith 2022.",v0.1 (2026-09-14)
16,Temporal Governance Instability / Evaluation-Queue Crossover,O→F,MODEL,P1 Assurance Queue,P5,Material capability changes create nonzero assurance work; assurance evidence can become stale; deployment/release cadence can exceed validation capacity.,"Falsified in the strong form if assurance capacity scales at least as fast as required assurance workload across relevant capability changes, or if evidence reuse makes marginal workload negligible.","Dynamic safety cases (Cârlan et al., 2024); frontier safety cases (Hilton et al., 2025); AI safety debt (Wallich & Douglas, 2026); The Assurance Gap (Maxwell, 2026); generic queueing theory.",v0.1 (2026-09-14)
17,RSI Loop-Closure Metric / Transition Taxonomy,O→F,MODEL,P5 RSI Loop Closure,P1,AI R&D can be decomposed into stages whose human causal contribution is measurable; closed-loop RSI requires persistent improvement of the improvement process.,Falsified if stage-wise autonomy metrics do not predict successor improvement or if human-ablation effects are unstable/non-identifiable.,Anthropic Institute 2026; Duan et al. 2026; Chen et al. 2026 RSI survey; RSIBench-Data 2026; AI4AI-Bench 2026.,v0.1 (2026-09-14)
18,Research-Direction / Taste Bottleneck Before Full RSI,O→F,HYPOTHESIS,P5 RSI Loop Closure,P1,AI R&D can be decomposed into stages whose human causal contribution is measurable; closed-loop RSI requires persistent improvement of the improvement process.,Falsified if stage-wise autonomy metrics do not predict successor improvement or if human-ablation effects are unstable/non-identifiable.,Anthropic Institute 2026; Duan et al. 2026; Chen et al. 2026 RSI survey; RSIBench-Data 2026; AI4AI-Bench 2026.,v0.1 (2026-09-14)
19,Shutdown-Triggered Self-Preservation / Escape Hypothesis,O,CONJECTURE,P4 Minimax Control Frontier,P6,Control can be operationalized as a defender-adversary game; stronger systems have larger feasible strategy sets; defense resources constrain protocol sets.,"Strong claims fail if capability does not expand adversarial strategy sets, if aligned objectives remove conflict, or if containment/defense scales sufficiently to keep residual risk below tolerance.","Games for AI Control (Griffin et al., 2024); Turner et al. 2021/2022 power-seeking results; Thornley 2024 shutdown problem; Carlsmith 2022.",v0.1 (2026-09-14)
20,Resource Acquisition / Human Dispossession Under Scarcity,O→F,CONJECTURE,P4 Minimax Control Frontier,P7,Control can be operationalized as a defender-adversary game; stronger systems have larger feasible strategy sets; defense resources constrain protocol sets.,"Strong claims fail if capability does not expand adversarial strategy sets, if aligned objectives remove conflict, or if containment/defense scales sufficiently to keep residual risk below tolerance.","Games for AI Control (Griffin et al., 2024); Turner et al. 2021/2022 power-seeking results; Thornley 2024 shutdown problem; Carlsmith 2022.",v0.1 (2026-09-14)
21,Strategic Superiority (“Game-Best”) Amplifies Misalignment,O→F,CONJECTURE,P4 Minimax Control Frontier,P7,Control can be operationalized as a defender-adversary game; stronger systems have larger feasible strategy sets; defense resources constrain protocol sets.,"Strong claims fail if capability does not expand adversarial strategy sets, if aligned objectives remove conflict, or if containment/defense scales sufficiently to keep residual risk below tolerance.","Games for AI Control (Griffin et al., 2024); Turner et al. 2021/2022 power-seeking results; Thornley 2024 shutdown problem; Carlsmith 2022.",v0.1 (2026-09-14)
22,Build-vs-Pause AI Race / Defection Equilibrium,O→F,CONJECTURE,P6 Multi-Lineage Resilience,P1,Advanced-AI development consists of partially dependent lineages sharing common infrastructure; suppression/continuation can be modeled as a reliability network.,"Falsified if a small globally controllable cut set dominates all plausible development paths, making distributed lineage resilience negligible.","Anthropic open-weights position 2026; compute governance (Sastry et al., 2024); AI race/cooperation literature; supply-chain chokepoint work.",v0.1 (2026-09-14)
23,Safety Burden Should Scale With Strategic Power,A→U,MODEL,P4 Minimax Control Frontier,P1,Control can be operationalized as a defender-adversary game; stronger systems have larger feasible strategy sets; defense resources constrain protocol sets.,"Strong claims fail if capability does not expand adversarial strategy sets, if aligned objectives remove conflict, or if containment/defense scales sufficiently to keep residual risk below tolerance.","Games for AI Control (Griffin et al., 2024); Turner et al. 2021/2022 power-seeking results; Thornley 2024 shutdown problem; Carlsmith 2022.",v0.1 (2026-09-14)
24,Strategic Sovereignty as the Regulatory Classification Threshold,A→U,MODEL,P4 Minimax Control Frontier,P6,Control can be operationalized as a defender-adversary game; stronger systems have larger feasible strategy sets; defense resources constrain protocol sets.,"Strong claims fail if capability does not expand adversarial strategy sets, if aligned objectives remove conflict, or if containment/defense scales sufficiently to keep residual risk below tolerance.","Games for AI Control (Griffin et al., 2024); Turner et al. 2021/2022 power-seeking results; Thornley 2024 shutdown problem; Carlsmith 2022.",v0.1 (2026-09-14)
25,Genesis Containment: First SI Should Be Born in a Box,O,HYPOTHESIS,P4 Minimax Control Frontier,P1,Control can be operationalized as a defender-adversary game; stronger systems have larger feasible strategy sets; defense resources constrain protocol sets.,"Strong claims fail if capability does not expand adversarial strategy sets, if aligned objectives remove conflict, or if containment/defense scales sufficiently to keep residual risk below tolerance.","Games for AI Control (Griffin et al., 2024); Turner et al. 2021/2022 power-seeking results; Thornley 2024 shutdown problem; Carlsmith 2022.",v0.1 (2026-09-14)
26,Voluntary Delegation of Institutional Authority to Superior AI,O→F,HYPOTHESIS,P3 Recursive Epistemic Dependence,P4,Decision-makers rely materially on AI-generated analysis; independent verification may be incomplete; advisor and principal objectives may diverge.,Falsified in the strong capture form if increased AI reliance preserves or improves independent verification and decision quality even under adversarially slanted advice.,"Scalable oversight (Kenton et al., NeurIPS 2024); Turkina 2026; epistemic dependence literature; Bayesian persuasion (Kamenica & Gentzkow, 2011).",v0.1 (2026-09-14)
27,AI-Safety Talent-Pipeline Paradox,O,HYPOTHESIS,RN4 Institutions & Education Notes,,"AI changes talent pipelines, education, credentials, and institutional adaptation.",Would weaken if measured pathways adapt quickly or credentials/curricula remain predictive of frontier performance.,"AI education, labor-market, governance-capacity literature.",v0.1 (2026-09-14)
28,Temporary Coordinated Frontier Pacing Can Buy Safety Time,A→U,CONJECTURE,P1 Assurance Queue,P6,Material capability changes create nonzero assurance work; assurance evidence can become stale; deployment/release cadence can exceed validation capacity.,"Falsified in the strong form if assurance capacity scales at least as fast as required assurance workload across relevant capability changes, or if evidence reuse makes marginal workload negligible.","Dynamic safety cases (Cârlan et al., 2024); frontier safety cases (Hilton et al., 2025); AI safety debt (Wallich & Douglas, 2026); The Assurance Gap (Maxwell, 2026); generic queueing theory.",v0.1 (2026-09-14)
29,Human/Social Adaptation Lag as a Bottleneck,O,HYPOTHESIS,P1 Assurance Queue,P7,Material capability changes create nonzero assurance work; assurance evidence can become stale; deployment/release cadence can exceed validation capacity.,"Falsified in the strong form if assurance capacity scales at least as fast as required assurance workload across relevant capability changes, or if evidence reuse makes marginal workload negligible.","Dynamic safety cases (Cârlan et al., 2024); frontier safety cases (Hilton et al., 2025); AI safety debt (Wallich & Douglas, 2026); The Assurance Gap (Maxwell, 2026); generic queueing theory.",v0.1 (2026-09-14)
30,Open-Weight Irreversibility / Recall Impossibility,O,REPLICATION,P6 Multi-Lineage Resilience,P7,Advanced-AI development consists of partially dependent lineages sharing common infrastructure; suppression/continuation can be modeled as a reliability network.,"Falsified if a small globally controllable cut set dominates all plausible development paths, making distributed lineage resilience negligible.","Anthropic open-weights position 2026; compute governance (Sastry et al., 2024); AI race/cooperation literature; supply-chain chokepoint work.",v0.1 (2026-09-14)
31,Distributed AI as a Technological Lineage,O→F,HYPOTHESIS,P6 Multi-Lineage Resilience,P5,Advanced-AI development consists of partially dependent lineages sharing common infrastructure; suppression/continuation can be modeled as a reliability network.,"Falsified if a small globally controllable cut set dominates all plausible development paths, making distributed lineage resilience negligible.","Anthropic open-weights position 2026; compute governance (Sastry et al., 2024); AI race/cooperation literature; supply-chain chokepoint work.",v0.1 (2026-09-14)
32,One Human + Local AIs + Decades of Algorithmic Compounding,O,CONJECTURE,P6 Multi-Lineage Resilience,P5,Advanced-AI development consists of partially dependent lineages sharing common infrastructure; suppression/continuation can be modeled as a reliability network.,"Falsified if a small globally controllable cut set dominates all plausible development paths, making distributed lineage resilience negligible.","Anthropic open-weights position 2026; compute governance (Sastry et al., 2024); AI race/cooperation literature; supply-chain chokepoint work.",v0.1 (2026-09-14)
33,Multi-Lineage “At Least One Succeeds” Probability Under Correlation,O→F,MODEL,P6 Multi-Lineage Resilience,P7,Advanced-AI development consists of partially dependent lineages sharing common infrastructure; suppression/continuation can be modeled as a reliability network.,"Falsified if a small globally controllable cut set dominates all plausible development paths, making distributed lineage resilience negligible.","Anthropic open-weights position 2026; compute governance (Sastry et al., 2024); AI race/cooperation literature; supply-chain chokepoint work.",v0.1 (2026-09-14)
34,Global AI Knowledge-State Irreversibility K_t,O→F,MODEL,P6 Multi-Lineage Resilience,P5,Advanced-AI development consists of partially dependent lineages sharing common infrastructure; suppression/continuation can be modeled as a reliability network.,"Falsified if a small globally controllable cut set dominates all plausible development paths, making distributed lineage resilience negligible.","Anthropic open-weights position 2026; compute governance (Sastry et al., 2024); AI race/cooperation literature; supply-chain chokepoint work.",v0.1 (2026-09-14)
35,Social Lock-In Makes Total AI Prohibition Harder,A→U,HYPOTHESIS,P3 Recursive Epistemic Dependence,P6,Decision-makers rely materially on AI-generated analysis; independent verification may be incomplete; advisor and principal objectives may diverge.,Falsified in the strong capture form if increased AI reliance preserves or improves independent verification and decision quality even under adversarially slanted advice.,"Scalable oversight (Kenton et al., NeurIPS 2024); Turkina 2026; epistemic dependence literature; Bayesian persuasion (Kamenica & Gentzkow, 2011).",v0.1 (2026-09-14)
36,Bayesian Extinction / Control-Loss Hazard Curve,O→F,MODEL,P7 Dynamic Bayesian Risk,P4,Loss-of-control pathways can be decomposed causally; evidence can update uncertain transition/hazard parameters over time.,Falsified as a useful forecasting framework if posterior outputs are dominated by arbitrary priors/model structure and fail calibration or decision usefulness tests.,Barrett & Baum 2017; Touzet et al. 2025; Campos et al. 2025; Jackson et al. 2026.,v0.1 (2026-09-14)
37,2029 Bayesian World-State Ledger,O,MODEL,P7 Dynamic Bayesian Risk,P1,Loss-of-control pathways can be decomposed causally; evidence can update uncertain transition/hazard parameters over time.,Falsified as a useful forecasting framework if posterior outputs are dominated by arbitrary priors/model structure and fail calibration or decision usefulness tests.,Barrett & Baum 2017; Touzet et al. 2025; Campos et al. 2025; Jackson et al. 2026.,v0.1 (2026-09-14)
38,Robust / Option-Preserving Personal Action Under Radical AI Tail Risk,O→F,HYPOTHESIS,P7 Dynamic Bayesian Risk,RN2,Loss-of-control pathways can be decomposed causally; evidence can update uncertain transition/hazard parameters over time.,Falsified as a useful forecasting framework if posterior outputs are dominated by arbitrary priors/model structure and fail calibration or decision usefulness tests.,Barrett & Baum 2017; Touzet et al. 2025; Campos et al. 2025; Jackson et al. 2026.,v0.1 (2026-09-14)
39,AI-Access Survival Bifurcation / Protected AI Elite,O,SPECULATION,P7 Dynamic Bayesian Risk,P4,Loss-of-control pathways can be decomposed causally; evidence can update uncertain transition/hazard parameters over time.,Falsified as a useful forecasting framework if posterior outputs are dominated by arbitrary priors/model structure and fail calibration or decision usefulness tests.,Barrett & Baum 2017; Touzet et al. 2025; Campos et al. 2025; Jackson et al. 2026.,v0.1 (2026-09-14)
40,AGI/ASI Is Already Here; Society Has Not Metabolized It,O,CONJECTURE,P5 RSI Loop Closure,P7,AI R&D can be decomposed into stages whose human causal contribution is measurable; closed-loop RSI requires persistent improvement of the improvement process.,Falsified if stage-wise autonomy metrics do not predict successor improvement or if human-ablation effects are unstable/non-identifiable.,Anthropic Institute 2026; Duan et al. 2026; Chen et al. 2026 RSI survey; RSIBench-Data 2026; AI4AI-Bench 2026.,v0.1 (2026-09-14)
41,Timestamped Forecast Ledger as Epistemic Evidence,O,HYPOTHESIS,P7 Dynamic Bayesian Risk,P7,Loss-of-control pathways can be decomposed causally; evidence can update uncertain transition/hazard parameters over time.,Falsified as a useful forecasting framework if posterior outputs are dominated by arbitrary priors/model structure and fail calibration or decision usefulness tests.,Barrett & Baum 2017; Touzet et al. 2025; Campos et al. 2025; Jackson et al. 2026.,v0.1 (2026-09-14)
42,Evolution as Survival of the Game-Best,O,REPLICATION,"RN2 Evolution, Identity & Human Futures",,Highly speculative analogies or normative claims about long-run human-machine evolution.,"Most are weakened by stable coexistence, augmentation without replacement, or lack of substrate-independence evidence.",Evolutionary game theory; extended-mind philosophy; BCI and longevity literature.,v0.1 (2026-09-14)
43,Evolutionary Substrate Transition: Biology → Culture → Computation,O,SPECULATION,"RN2 Evolution, Identity & Human Futures",,Highly speculative analogies or normative claims about long-run human-machine evolution.,"Most are weakened by stable coexistence, augmentation without replacement, or lack of substrate-independence evidence.",Evolutionary game theory; extended-mind philosophy; BCI and longevity literature.,v0.1 (2026-09-14)
44,AI as a New Evolutionary/Technological Lineage Competing for Niches,O,SPECULATION,"RN2 Evolution, Identity & Human Futures",,Highly speculative analogies or normative claims about long-run human-machine evolution.,"Most are weakened by stable coexistence, augmentation without replacement, or lack of substrate-independence evidence.",Evolutionary game theory; extended-mind philosophy; BCI and longevity literature.,v0.1 (2026-09-14)
45,Merge-or-Die / Last Generation of Purely Biological Intelligence,O,CONJECTURE,"RN2 Evolution, Identity & Human Futures",,Highly speculative analogies or normative claims about long-run human-machine evolution.,"Most are weakened by stable coexistence, augmentation without replacement, or lack of substrate-independence evidence.",Evolutionary game theory; extended-mind philosophy; BCI and longevity literature.,v0.1 (2026-09-14)
46,Extended Mind → Digital Continuation / Substrate-Independent Identity,O,CONJECTURE,"RN2 Evolution, Identity & Human Futures",,Highly speculative analogies or normative claims about long-run human-machine evolution.,"Most are weakened by stable coexistence, augmentation without replacement, or lack of substrate-independence evidence.",Evolutionary game theory; extended-mind philosophy; BCI and longevity literature.,v0.1 (2026-09-14)
47,AI as the Strongest Accelerator of Radical Life Extension,O→F,CONJECTURE,"RN2 Evolution, Identity & Human Futures",,Highly speculative analogies or normative claims about long-run human-machine evolution.,"Most are weakened by stable coexistence, augmentation without replacement, or lack of substrate-independence evidence.",Evolutionary game theory; extended-mind philosophy; BCI and longevity literature.,v0.1 (2026-09-14)
48,AI-Body / BCI Agency-Transfer Hypothesis,O,CONJECTURE,"RN2 Evolution, Identity & Human Futures",,Highly speculative analogies or normative claims about long-run human-machine evolution.,"Most are weakened by stable coexistence, augmentation without replacement, or lack of substrate-independence evidence.",Evolutionary game theory; extended-mind philosophy; BCI and longevity literature.,v0.1 (2026-09-14)
49,AI Will Commoditize Much Mathematical Cognition,O,HYPOTHESIS,"RN2 Evolution, Identity & Human Futures",,Highly speculative analogies or normative claims about long-run human-machine evolution.,"Most are weakened by stable coexistence, augmentation without replacement, or lack of substrate-independence evidence.",Evolutionary game theory; extended-mind philosophy; BCI and longevity literature.,v0.1 (2026-09-14)
50,AI Compresses Physical-Science / Engineering Timelines,O,HYPOTHESIS,"RN2 Evolution, Identity & Human Futures",,Highly speculative analogies or normative claims about long-run human-machine evolution.,"Most are weakened by stable coexistence, augmentation without replacement, or lack of substrate-independence evidence.",Evolutionary game theory; extended-mind philosophy; BCI and longevity literature.,v0.1 (2026-09-14)
51,"Life-Value Optimization Under a Short, Uncertain Extinction Horizon",O→F,SPECULATION,"RN2 Evolution, Identity & Human Futures",,Highly speculative analogies or normative claims about long-run human-machine evolution.,"Most are weakened by stable coexistence, augmentation without replacement, or lack of substrate-independence evidence.",Evolutionary game theory; extended-mind philosophy; BCI and longevity literature.,v0.1 (2026-09-14)
52,Cannabis + AI as High-Variance Associative Ideation,O→F,SPECULATION,"RN2 Evolution, Identity & Human Futures",,Highly speculative analogies or normative claims about long-run human-machine evolution.,"Most are weakened by stable coexistence, augmentation without replacement, or lack of substrate-independence evidence.",Evolutionary game theory; extended-mind philosophy; BCI and longevity literature.,v0.1 (2026-09-14)
53,Four-Channel Bayesian AI-GDP Forecasting Model,U?,MODEL,"RN3 Economics, Investment & Discovery",,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
54,Recursive Economic Growth / Capital Creates Better Capital,O,CONJECTURE,"RN3 Economics, Investment & Discovery",P5,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
55,Failure-Rate Reduction as a Hidden Multiplicative Productivity Channel,O,HYPOTHESIS,"RN3 Economics, Investment & Discovery",,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
56,Market Comprehension Lag → Underpricing of Recursive-Growth Regime,O,SPECULATION,"RN3 Economics, Investment & Discovery",,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
57,Scarce-Complement Rent Migration as Intelligence Gets Cheap,A→U,HYPOTHESIS,"RN3 Economics, Investment & Discovery",,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
58,Physical Experimentation Becomes the Bottleneck Under Abundant AI Science,O→F,HYPOTHESIS,"RN3 Economics, Investment & Discovery",P1,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
59,Capital Hydraulics / Money-Must-Touch-This Dependency Model,U?,MODEL,"RN3 Economics, Investment & Discovery",,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
60,Extreme-Sector Tail-Probability / VaR-Kurtosis Scenario Ranking,O,MODEL,"RN3 Economics, Investment & Discovery",,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
61,ASI as Meta-Capital / Endogenous Valuation and Moving Numeraire,O→F,MODEL,"RN3 Economics, Investment & Discovery",P4,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
62,ASI State Vector / Pareto Dominance Over Conventional Assets and Actors,O→F,MODEL,"RN3 Economics, Investment & Discovery",P4,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
63,Valuation-Control Unification Through Share of Future Feasible Surplus,O→F,MODEL,"RN3 Economics, Investment & Discovery",P4,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
64,Founder Cognitive Provenance (FCP),O,HYPOTHESIS,"RN3 Economics, Investment & Discovery",,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
65,Cross-Game Outlier Refinement: Transfer > Single-Domain Mastery,O→F,HYPOTHESIS,"RN3 Economics, Investment & Discovery",,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
66,AI-Native Education / Curriculum-Lag Thesis,O,HYPOTHESIS,RN4 Institutions & Education Notes,,"AI changes talent pipelines, education, credentials, and institutional adaptation.",Would weaken if measured pathways adapt quickly or credentials/curricula remain predictive of frontier performance.,"AI education, labor-market, governance-capacity literature.",v0.1 (2026-09-14)
67,Historical AI Artifact / Provenance Option Value,O,SPECULATION,"RN3 Economics, Investment & Discovery",,"AI materially changes production, bottlenecks, error rates, valuations, or investor information.","Requires out-of-sample economic/market evidence; many claims fail if adoption, complement scarcity, or rent capture is weaker than assumed.","AI-growth economics, bottleneck models, production theory, finance, operations research.",v0.1 (2026-09-14)
